dimension,response,horizon,value,sign,control_lags,regime
regime_interactions,ln_house_price_de_real,8,-2.2814875543598156e-13,negative,,tightening
regime_interactions,ln_house_price_de_real,12,-1.0903347680650959e-13,negative,,tightening
regime_interactions,ln_nfc_loans_ea_stock,0,-3.6636776108812526e-08,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,1,-7.201879235818174e-08,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,2,-6.09429246877415e-08,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,4,-4.9776944486886785e-08,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,8,2.093184960774262e-09,positive,,covid
regime_interactions,ln_nfc_loans_ea_stock,12,-5.612802217637094e-13,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,0,4.118780360898463e-08,positive,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,1,8.657706692289934e-08,positive,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,2,1.3974053307189984e-07,positive,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,4,3.7205913128631156e-08,positive,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,8,-6.67544323996322e-08,negative,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,12,-3.494619736827148e-07,negative,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,0,8.44456096789651e-08,positive,,qe
regime_interactions,ln_nfc_loans_ea_stock,1,1.1570808995261597e-07,positive,,qe
regime_interactions,ln_nfc_loans_ea_stock,2,9.365422607106825e-08,positive,,qe
regime_interactions,ln_nfc_loans_ea_stock,4,8.504593338907725e-08,positive,,qe
regime_interactions,ln_nfc_loans_ea_stock,8,-2.6860279507738285e-07,negative,,qe
