factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,4.937416535422411,0.19035884042959492,-0.000822653724295839,negative,positive,unstable_or_unavailable,0.03740216339798348,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.285369277302551,0.08409147688771988,0.0011975922825581816,positive,positive,stable,0.2759446264519272,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.09220397723266514,0.0027045472711075083,0.0002278943044816474,positive,positive,stable,0.7632442194333917,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,1.2743511672592633,0.05721159542157229,-0.001300425044358104,negative,positive,unstable_or_unavailable,0.2716833402128959,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.116032396868299,0.07383104028670352,0.0027087895226105586,positive,positive,stable,0.3086640609145917,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,1.873348969697235,0.05222118992234825,0.0004448750559506292,positive,negative,unstable_or_unavailable,0.1800679614751559,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,1.0357387137880265,0.04700267720727476,0.0011248094651976604,positive,negative,unstable_or_unavailable,0.3203970705597394,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.7345623246348563,0.04985301283138451,0.00456799404760318,positive,negative,unstable_or_unavailable,0.40584089073488905,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_signed_cumulative,direct_quarterly,timing_factor_quarterly_signed_cumulative,d_wx_shadow_rate,baseline_2005q1_2022q2,pre_qe,2005Q1,2014Q1,0.2777289936609793,0.008102316046443452,0.010699797135750191,positive,positive,stable,0.6016154777962084,36,20.47134363813228,112,114.7118606145561,0.7011406574355419
timing,quarterly_signed_cumulative,direct_quarterly,timing_factor_quarterly_signed_cumulative,d_wx_shadow_rate,baseline_2005q1_2022q2,qe_era,2014Q2,2019Q4,0.0018095807677831449,8.616308803410217e-05,0.002699866954152124,positive,positive,stable,0.9664707664794692,23,2.3355742527133816,49,24.650041271918987,0.15066572933796013
timing,quarterly_signed_cumulative,direct_quarterly,timing_factor_quarterly_signed_cumulative,d_wx_shadow_rate,baseline_2005q1_2022q2,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,1.1340840376786823,16,5.335350102451358,0.03261067215229919
timing,quarterly_signed_cumulative,direct_quarterly,timing_factor_quarterly_signed_cumulative,d_wx_shadow_rate,baseline_2005q1_2022q2,tightening,2022Q1,2025Q4,,,,,positive,unstable_or_unavailable,,2,0.08996487982009557,4,5.073227544719904,0.03100852934446824
