,shadow_rate,ln_credit,ln_real_equity,ln_real_housing,ln_real_income,ln_cpi
2017-05-31,0.9916826296850851,9.41236502987192,3.1664956765995225,-0.24744318917110258,9.589509415985757,5.4971846186014535
2017-06-30,1.0963304846662973,9.413085941806074,3.14102950771274,-0.23907583824592643,9.59005681006157,5.497836035045509
2017-07-31,1.062688252388075,9.416315328801913,3.181204530415332,-0.23295330460112026,9.592891617912386,5.498163631351514
2017-08-31,1.023858401503188,9.419219351114974,3.1956080704202936,-0.2324985858063853,9.594125491648013,5.502004870500302
2017-09-30,1.1939405840920534,9.423175370263323,3.188960516210392,-0.23518647935814457,9.596010852756168,5.50709826702641
2017-10-31,1.292819994352836,9.428647522736984,3.2322332971107546,-0.2346068293923576,9.598903442008991,5.507873019073535
2017-11-30,1.3966911947452776,9.432158751237631,3.2481200145804356,-0.23540685411515364,9.600427848040024,5.5105374736878545
2017-12-31,1.5131087090221362,9.437176816160152,3.2508515912851723,-0.23549223826036184,9.602240557792708,5.512642146554028
2018-01-31,1.6984829856994368,9.439073171898606,3.3296090286930253,-0.2383484320354401,9.608216758435672,5.516886471015856
2018-02-28,1.7564864417083201,9.439839052609864,3.313073837740885,-0.23700613132213613,9.61053159758164,5.519575140902034
2018-03-31,1.824470480297312,9.440575893712925,3.272194257284278,-0.2287668201658825,9.614124067301809,5.519767484813539
2018-04-30,2.021034815711711,9.445466057938493,3.2733000056122252,-0.22115035069005154,9.616285364921199,5.522368505879615
2018-05-31,1.9683306692780427,9.447881790757956,3.3244208588933444,-0.21428904405803414,9.619651408345502,5.524623910323381
2018-06-30,2.0982738640734246,9.453880531008014,3.3339524293516725,-0.20735563745729166,9.62372735236552,5.525524649707929
2018-07-31,2.2527899980434416,9.45724284744642,3.3599629710563397,-0.20369038641918077,9.628043620946197,5.526305165525123
2018-08-31,2.264843412661093,9.458381772184207,3.4149646303177446,-0.20363317978204606,9.631586961503865,5.528090890938355
2018-09-30,2.413947591345036,9.461669742645451,3.40938403302416,-0.20546929737732259,9.631514773789528,5.53015104905668
2018-10-31,2.427702090152334,9.465474725045569,3.3164664516625857,-0.20782562475753966,9.633913862500355,5.532487896644746
2018-11-30,2.4181932223762233,9.468968710786548,3.3145710257041077,-0.20840281452345752,9.636601078274,5.531783456665163
2018-12-31,2.3006976837636794,9.477280727074714,3.2205810802257364,-0.21108873363245845,9.649014569841382,5.5324681157771955
2019-01-31,2.332478930494298,9.486118523564876,3.308614700218417,-0.21270961935538366,9.650934500334373,5.531652803697076
2019-02-28,2.3194717553215343,9.49008986265553,3.3328525511143803,-0.2146000603729797,9.652484504342839,5.5346495640642495
2019-03-31,2.1510742605293247,9.49331093392311,3.3679380130567416,-0.21180612778605779,9.652876448293448,5.538424223980678
2019-04-30,2.2174837845432336,9.496927495189778,3.4173224067791566,-0.20630362038112962,9.650799323880618,5.542176853455601
2019-05-31,2.0227396809393303,9.502627572529807,3.32935670117968,-0.19857380700470534,9.65068344380349,5.542423656282941
2019-06-30,1.7358065167650416,9.507594141727306,3.4031128985825925,-0.19237058654974307,9.652593750065495,5.542098490612086
2019-07-31,1.7335659784685886,9.512219927506397,3.423709676963241,-0.19111531792991507,9.653833174181004,5.544403707722465
2019-08-31,1.4557711605018686,9.518333887108579,3.4024880334642598,-0.19033684592721567,9.659139516783009,5.545318059592794
2019-09-30,1.5568206204911013,9.525734644082887,3.4085214292049395,-0.19102917068849354,9.661256742988265,5.546855722882189
2019-10-31,1.4212278615719884,9.529435394150918,3.4479420331726955,-0.1934041104893017,9.662568193538469,5.549679015936231
2019-11-30,1.3889119012750322,9.533824478604695,3.483934501471506,-0.195555212292591,9.665668084856742,5.552490482662294
2019-12-31,1.4529318088001433,9.53722185867654,3.5194737790647785,-0.1978456803109359,9.6603836114819,5.555398468889943
2020-01-31,1.2940412198763998,9.537815736415155,3.546717788757279,-0.19902121443892515,9.67047041742362,5.55731828900884
2020-02-29,1.0559809217404925,9.542465607994435,3.48552789415529,-0.19565127698808404,9.674093255954855,5.557792847109637
2020-03-31,-0.3076037943829107,9.568736816032926,3.4103541706666247,-0.181886120990998,9.661562477422075,5.553254115186731
2020-04-30,-0.7545780733538203,9.600129945014894,3.5597340847118146,-0.16446543257124774,9.79897667583288,5.545302436667713
2020-05-31,-1.1622355263389994,9.606929064344532,3.6204705692398056,-0.1578373969537925,9.747418366886238,5.544403707722465
2020-06-30,-1.553336709057498,9.606092109337249,3.6766641380227867,-0.15662154969919317,9.743917212848142,5.549239495667466
2020-07-31,-2.032692164276886,9.60920017702246,3.7427343761686567,-0.1537514335524729,9.75283325324054,5.554322996139265
2020-08-31,-2.1099562522220623,9.610886943892385,3.843797243114542,-0.14634777338153407,9.713657880251851,5.558047395230248
2020-09-30,-2.4000625727253664,9.613797342458316,3.782281498883723,-0.13676908317252376,9.71918603691671,5.56067009248742
2020-10-31,-2.4567598223151528,9.614117429461578,3.7485448376045762,-0.12482899344780024,9.715566346931679,5.561907802037412
2020-11-30,-2.4819219065538847,9.617254825941705,3.850596256013551,-0.116265948994655,9.703926241479474,5.564179353001697
2020-12-31,-2.4609235820085122,9.618544504197313,3.895557405519101,-0.11182427455944426,9.704896360074756,5.568516244737962
2021-01-31,-2.3744894463751676,9.621822534582725,3.895984889970102,-0.10546330486200478,9.808847148382007,5.570963209361192
