response,regime,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,CI_68_low,CI_68_high,F_stat,partial_R2,weak_iv_flag,nobs
ln_house_price_de_real,pre_qe,8,2.4385797000263052e-08,2.943487616034168e-08,0.8284660980880437,0.40740658682862396,-2.4030265810942368e-08,7.280185981146848e-08,-4.8859476386915664e-09,5.365754163921767e-08,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_house_price_de_real,pre_qe,12,2.229577776070813e-08,3.785292664484479e-08,0.5890106720121892,0.5558541146136073,-3.996674592179282e-08,8.455830144320908e-08,-1.534736354381829e-08,5.993891906523455e-08,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_house_price_de_real,qe,0,1.4992030712264065e-08,4.397147381356077e-08,0.34094901562386415,0.7331419640248138,-5.733460747237302e-08,8.731866889690114e-08,-2.8735748057982673e-08,5.8719809482510804e-08,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_house_price_de_real,qe,1,2.966498406447598e-08,6.270156185550924e-08,0.4731139573976893,0.6361318795157983,-7.346990736908043e-08,1.327998754980324e-07,-3.268907841229915e-08,9.201904654125111e-08,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_house_price_de_real,qe,2,6.514993236582396e-08,5.807433102360304e-08,1.121836984042833,0.2619317580123001,-3.037384165112987e-08,1.606737063827778e-07,7.397456067269183e-09,1.2290240866437873e-07,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_house_price_de_real,qe,4,3.492686465072715e-08,6.124849655696964e-08,0.5702485222349954,0.5685091501682011,-6.581794705632909e-08,1.3567167635778337e-07,-2.598218558509674e-08,9.583591488655104e-08,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_house_price_de_real,qe,8,8.147957715365203e-08,5.274237255481324e-08,1.544859914463902,0.12238015125187715,-5.273905637158284e-09,1.6823305994446233e-07,2.9029508987332266e-08,1.339296453199718e-07,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_house_price_de_real,qe,12,1.0952977057330172e-07,7.815038173255806e-08,1.4015257270032087,0.1610569197812118,-1.9016168267138432e-08,2.3807570941374187e-07,3.181250738350786e-08,1.8724703376309558e-07,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_house_price_de_real,tightening,0,-5.72833263375807e-08,6.428586913152487e-08,-0.8910718189153296,0.37289064228090735,-1.6302417134029702e-07,4.8457518665135614e-08,-1.2121291567441613e-07,6.64626299925473e-09,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_house_price_de_real,tightening,1,-1.3681435326726683e-07,6.079377523812338e-08,-2.250466478375099,0.024419349123179827,-2.3681121496376663e-07,-3.681749157076702e-08,-1.972712023029005e-07,-7.635750423163314e-08,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
